episodes,total_reward,reward,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
53,5701.047329543887,123.3991163056179,5.0399999999999805,13.110183343386343,-7.2068995425633,62.50393372559398,5.997302582617682,5.838657027495177,0.0,8.54394275567196,-4.285761030871379,11.203506092950064,-0.21523014464666923,-0.15188863106197495,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
54,-154.54262353292262,-77.57686700053651,2.2800000000000016,-1.9748980337339102,22.211417665330337,0.0,5.451903113882597,0.16964353078316563,0.0,-3.1396913126831296,13.362674990312504,-13.571452270214701,-18.938723460954485,0.04051135682620817,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
55,498.8624516999818,-25.930380957171074,2.3400000000000016,-1.1269904070236039,9.723844425998516,0.0,0.653626767092617,0.16492508098126368,0.0,-2.2184997607968686,8.142551065456383,-17.26821304034177,-18.928864577301862,0.10791188587957092,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
56,4738.6366737663375,86.71665214877746,5.0399999999999805,17.199272854974406,-17.419527988499382,59.74937933018759,6.086627349210509,5.849312624749695,0.0,10.866826577683264,-7.944413589332937,9.406902454554706,-0.04634237843691153,0.1860671565161017,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
57,5557.594733870059,116.91181608347316,5.0399999999999805,12.853869661008716,-10.576079158500978,62.09569650873827,5.884980374772908,6.072385699230134,0.0,7.369042671135323,-6.870702442817288,11.10718102870013,-0.13588362033373372,0.08937718275836512,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
58,5309.129435563685,98.26933073940258,5.0399999999999805,22.270138447790682,-5.504715442257095,58.932534464605,0.27626562966389745,5.3627229369115454,0.0,14.64316214008881,-0.5370481531062155,7.188692878432042,0.16033620312231303,-0.27826338165882236,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
59,7098.932763779192,162.90101432708386,5.0399999999999805,5.788401377563777,3.0727142472413687,64.07518899551931,0.3750812414030431,5.164015871904862,0.0,9.250965333450303,3.7061730808243656,11.354411712164044,0.14491184656711423,-0.5320181192178352,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
60,6921.98683762909,164.45879173184494,5.0399999999999805,-2.783987623682921,-4.604445425730837,64.44801490732868,6.063877878776889,0.01857340653328521,0.0,-1.8885006688857895,-3.664167564091254,13.20111726776838,-0.06531984064223073,-0.0610942318663919,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
61,7320.356740724398,168.4824448109844,5.0399999999999805,-3.636465092987223,-1.6397574942366846,64.62251734228262,6.261411776310146,0.2084546588994085,0.0,-3.0768125591712674,-0.5923276395838908,13.374269015960056,-0.028236800555303386,0.09627083080880143,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
62,3937.9359412856775,25.485155820075832,5.0399999999999805,34.532055483122306,-4.237038747798404,48.57348054420605,6.034427125007657,4.77161249141283,0.0,18.693711058412745,-1.8790944713236493,-2.0492014819057114,-0.13232632734988561,-0.41209353614202515,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
63,6252.857396233883,124.30895082754391,5.0399999999999805,6.102183408909968,-12.807823272842091,61.78345992710579,5.411583456162305,6.163783280525079,0.0,3.7091981166068755,-11.354200996210267,9.33574582815837,-0.3222021072126501,0.0019362542169151157,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
64,5329.990651566284,80.92685444416779,5.0399999999999805,-6.340601356392271,-25.297478353513796,56.029125625371016,5.2047277404168355,0.3954975582453155,0.0,-5.15932869888155,-15.919872377824076,3.9025157033061646,-0.28817071602280503,0.21241940594564926,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
65,-56.77413692586072,-46.99235436797102,1.8600000000000012,0.9524575830150418,10.039845727819761,0.0,6.19903080126106,6.039851353601783,0.0,2.3292408898876613,11.161606914266752,-5.126409122516348,-3.8840707314496496,-0.24656302043382516,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
66,5788.544377562488,70.16842354428094,5.0399999999999805,-30.616445889465773,0.10306729292678386,53.09537771271552,0.16627501520840493,1.4158458542868146,0.0,-17.746491729911774,0.6648076028721085,1.194887352832616,-0.006216214348349912,0.4843063823414783,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
67,1208.0071117449172,-28.818922371229284,4.799999999999986,3.8117806806686847,2.1984528047185234,0.0,3.380530523432011,6.276825909797303,0.0,2.067419823197478,-7.978449643789703,-22.278259396371016,-15.272949331756186,0.0025702327569989947,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
68,5894.2006799591245,137.02962911212762,5.0399999999999805,6.622973086985,-9.184618282395139,63.81899107065713,6.044785936628383,6.226711326689033,0.0,2.146966118690591,-5.775595430980527,12.779895210761893,-0.025792024736525886,-0.19248601604616714,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
69,3152.750842374811,-24.031333916174468,5.0399999999999805,3.2229013332661873,-41.78658658768388,38.65935382950255,4.504710343153331,5.763990269838331,0.0,1.792180296405569,-20.01251723002407,-8.249551075717369,-0.2752331336440769,-0.1972957820862402,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
70,4545.723792183322,10.849273484121419,5.0399999999999805,5.123077648154883,2.692611349369928,12.619261550740733,0.0569665111589952,5.713016078284388,0.0,7.438654704934387,3.3509333116276743,-17.200343754258054,-3.3179033424218627,-0.4019841735192156,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
71,5713.2834904519505,123.33134125013439,5.0399999999999805,15.513027823745906,13.934303146371068,60.55238116044515,0.619436944096682,0.0686542013421434,0.0,6.205930622873573,10.404415070506744,10.11590701601563,0.27012160500112453,0.42808146564915445,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
72,920.7446021155072,-66.74095841604856,3.4800000000000026,-4.282128339153241,18.487496434540983,0.0,5.083732567620103,0.5170631157051258,0.0,-7.917847652458835,9.202016034488194,-14.92339235581956,-18.954349422115552,0.44085609802920495,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
73,6470.691072988342,143.68176546829494,5.0399999999999805,1.3478492080344526,-11.343251910440458,63.40534689166307,5.98211784565979,0.3081422687613937,0.0,-1.5925272766086969,-7.654756610737243,12.229612955544319,-0.03817163820305507,0.17902003314589227,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
74,6077.5813982341015,81.25355670974747,5.0399999999999805,-27.948359218205812,6.915463653154239,59.848768889693,0.24988603668255482,5.987913371651734,0.0,-13.777117913546752,5.810320205546124,13.233981005281,-0.0008739605539319639,-0.564680794064928,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
75,7527.732750537848,140.36885260579191,5.0399999999999805,-13.93461433756669,8.73965780479434,61.81801076138399,0.45384803469226664,0.3861712173256837,0.0,-8.754001240883337,6.839998095509938,10.254278329442108,0.15347472881892946,0.021246916828301352,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
76,-641.833280273237,-33.16826568151339,2.760000000000002,2.005369735012286,6.084687234907465,0.0,2.66130013801291,6.118876364171584,0.0,2.3634480985398287,-8.218444011003978,-14.980811189782449,-11.105390793925475,-0.12352730400278143,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
77,422.20870261112555,-50.86304868423623,4.679999999999988,12.958013033697478,2.6289449689649156,0.0,2.255091157201324,5.624806524726866,0.0,10.126994540508235,-8.171877877213337,-19.15912028865309,-17.618260866133532,-0.1372228320255342,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
78,6271.550837914496,92.69520223348334,5.0399999999999805,3.76873920823782,3.610284650697129,39.76256933377708,1.3939260385311423,5.841147172245874,0.0,8.017818733435817,0.7527161459780114,-13.349789702927024,-4.343522032670718,-0.18357225130513768,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
79,6550.836572650977,151.92290677683346,5.0399999999999805,-7.466910858118773,-4.901174074677567,63.93499639438423,6.217551108272161,0.07145063884233505,0.0,-5.210885615675595,-2.5995849980168466,13.00442857680351,0.03186260892940691,-0.16546634185904888,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
80,8062.379527515372,158.19751550129104,5.0399999999999805,-5.151000779678961,10.564614684116018,63.095731799079594,0.5595957685769362,0.042281298983767535,0.0,-2.9961350442435934,8.481022730051336,11.376462089428328,0.13054350218863342,-0.11803977719643169,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
81,4999.417087386953,55.64836196767161,5.0399999999999805,29.49514440168455,10.388453673281964,52.6423575496227,0.08465784529373899,5.136470499894051,0.0,17.635904978656516,4.30970098412886,1.867642442652853,-0.1056918188395423,-0.24051620849074026,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
82,2809.297726711669,-16.4311995761798,5.0399999999999805,26.113881680431806,-35.186926721507824,43.09365278106014,5.211783836316991,5.060048170972454,0.0,14.901153373892402,-17.31321877540531,-4.806850118566826,-1.9108866094732806,-0.5009222424647221,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
83,5202.537580245403,62.210734225778225,5.0399999999999805,28.018266481980998,10.86552602135272,53.77413072940959,0.3291830120924404,5.261418742627324,0.0,16.86879509286549,5.096527998552836,2.9581370896860295,0.04474107507261712,-0.13923332543510777,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
84,6880.607570958698,150.79547458483114,5.0399999999999805,-2.7912668340977835,-8.93035986788964,63.59597597611612,5.873967803776278,0.09375195346175502,0.0,-1.752003590764718,-7.21731117035109,12.161640732727733,-0.1494283846719394,0.13699213800133406,0.0,442.07163865962065,442.21637980413857,440.62424417582776,444.35836485258557
